DATE,DCOILWTICO
1/3/2022,75.99
1/4/2022,77
1/5/2022,77.83
1/6/2022,79.47
1/7/2022,79
1/10/2022,78.11
1/11/2022,81.17
1/12/2022,82.51
1/13/2022,81.97
1/14/2022,83.82
1/17/2022,.
1/18/2022,85.42
1/19/2022,86.84
1/20/2022,86.29
1/21/2022,85.16
1/24/2022,84.48
1/25/2022,86.61
1/26/2022,88.33
1/27/2022,87.61
1/28/2022,87.67
1/31/2022,89.16
2/1/2022,88.22
2/2/2022,88.16
2/3/2022,90.17
2/4/2022,92.27
2/7/2022,91.25
2/8/2022,89.32
2/9/2022,89.57
2/10/2022,89.83
2/11/2022,93.1
2/14/2022,95.52
2/15/2022,92.07
2/16/2022,93.83
2/17/2022,91.78
2/18/2022,91.26
2/21/2022,.
2/22/2022,92.11
2/23/2022,92.14
2/24/2022,92.77
2/25/2022,91.68
2/28/2022,96.13
3/1/2022,103.66
3/2/2022,110.74
3/3/2022,107.69
3/4/2022,115.77
3/7/2022,119.26
3/8/2022,123.64
3/9/2022,108.81
3/10/2022,105.93
3/11/2022,109.31
3/14/2022,103.22
3/15/2022,96.42
3/16/2022,94.85
3/17/2022,102.97
3/18/2022,104.69
3/21/2022,112.14
3/22/2022,111.03
3/23/2022,114.89
3/24/2022,114.2
3/25/2022,116.2
3/28/2022,107.55
3/29/2022,104.25
3/30/2022,107.81
3/31/2022,100.53
4/1/2022,99.32
4/4/2022,103.29
4/5/2022,101.98
4/6/2022,96.39
4/7/2022,96.05
4/8/2022,98.35
4/11/2022,94.22
4/12/2022,100.52
4/13/2022,104.26
4/14/2022,106.84
4/15/2022,.
4/18/2022,108.24
4/19/2022,102.54
4/20/2022,102.56
4/21/2022,103.89
4/22/2022,102.86
4/25/2022,99.6
4/26/2022,102.62
4/27/2022,101.96
4/28/2022,105.47
4/29/2022,104.59
5/2/2022,105.18
5/3/2022,102.53
5/4/2022,107.84
5/5/2022,108.17
5/6/2022,109.72
5/9/2022,103.08
5/10/2022,99.74
5/11/2022,105.5
5/12/2022,106.15
5/13/2022,110.52
5/16/2022,114.07
5/17/2022,112.31
5/18/2022,109.67
5/19/2022,112.21
5/20/2022,112.63
5/23/2022,110.32
5/24/2022,112.55
5/25/2022,112.88
5/26/2022,116.19
5/27/2022,114.96
5/30/2022,.
5/31/2022,114.38
6/1/2022,115.26
6/2/2022,116.88
6/3/2022,118.97
6/6/2022,118.41
6/7/2022,119.55
6/8/2022,121.94
6/9/2022,121.52
6/10/2022,120.73
6/13/2022,120.92
6/14/2022,118.92
6/15/2022,115.32
6/16/2022,117.56
6/17/2022,109.56
6/20/2022,.
6/21/2022,110.49
6/22/2022,106.22
6/23/2022,105.75
6/24/2022,109.07
6/27/2022,111.44
6/28/2022,113.66
6/29/2022,111.65
6/30/2022,107.76
7/1/2022,110.3
7/4/2022,.
7/5/2022,101.55
7/6/2022,100.31
7/7/2022,104.62
7/8/2022,106.78
7/11/2022,106.09
7/12/2022,97.69
7/13/2022,98.44
7/14/2022,97.79
7/15/2022,99.59
7/18/2022,104.48
