,Day,atmMidIV,DaysLeft,spot,gamma,gammaMoney,OptionsNeeded
5430,2021-08-23 05:00:00,84.96,31.0,50327.10235973,3.2015421305563676e-05,810.892107701262,1233.2096841278008
5436,2021-08-23 06:00:00,84.73,31.0,50263.67196599,3.214283895312776e-05,812.0684860030633,1231.4232324442496
5442,2021-08-23 07:00:00,84.31,31.0,50178.53884933,3.2357767556174024e-05,814.7316218917659,1227.3980451109167
5448,2021-08-23 08:00:00,84.88,31.0,50160.89605134,3.215177798587097e-05,808.9758670724348,1236.130817621116
5454,2021-08-23 09:00:00,85.26,31.0,50284.47238458,3.1929816687529526e-05,807.3544073370493,1238.6134155114933
5460,2021-08-23 10:00:00,84.86,31.0,50333.64496796,3.204898222447954e-05,811.9532138546172,1231.5980563124579
5466,2021-08-23 11:00:00,85.55,31.0,50257.68583274,3.1838540419758676e-05,804.1889927191731,1243.4887931240376
5477,2021-08-23 13:00:00,85.34,31.0,50304.92761644,3.188691353806355e-05,806.9256877160295,1239.2714908239686
5483,2021-08-23 14:00:00,84.91,31.0,50191.20305737,3.212101088959841e-05,809.178650722692,1235.8210379214552
5489,2021-08-23 15:00:00,85.77,31.0,49743.9308583,3.2084859363556613e-05,793.9265801833074,1259.5623133931515
5495,2021-08-23 16:00:00,85.56,31.0,49552.82414114,3.228765203384596e-05,792.8176067239218,1261.3241576864023
5501,2021-08-23 17:00:00,85.22,31.0,49720.08893765,3.2307416046299314e-05,798.66751093618,1252.0854877742838
5507,2021-08-23 18:00:00,85.29,31.0,49432.71741112,3.246856177722869e-05,793.399681576407,1260.3987917074764
5513,2021-08-23 19:00:00,85.24,31.0,49470.27352988,3.246294368955579e-05,794.4682059780325,1258.7036113911531
9861,2021-10-25 20:00:00,79.02,31.0,62694.64366576,2.7631737052797938e-05,1086.0981254671874,920.7271208297574
9867,2021-10-25 21:00:00,79.52,31.0,62558.81341028,2.7517614176406663e-05,1076.9307615205053,928.564802613784
9873,2021-10-25 22:00:00,79.74,31.0,62823.82859725,2.7325934326857182e-05,1078.5091137000834,927.2058875508811
9879,2021-10-25 23:00:00,79.44,31.0,63016.33589828,2.7345336264264595e-05,1085.8993246987293,920.8956827350812
9885,2021-10-26 00:00:00,79.42,31.0,63083.3956903,2.732314618224884e-05,1087.3286493775395,919.6851389618656
9891,2021-10-26 01:00:00,79.1,31.0,63100.42150123,2.742628011812639e-05,1092.0221008460933,915.7323823622296
9897,2021-10-26 02:00:00,79.11,31.0,62705.10208347,2.7595698248404814e-05,1085.0434904802894,921.6220444374582
9903,2021-10-26 03:00:00,79.1,31.0,62729.43244348,2.7588482284195382e-05,1085.6017277234323,921.1481286945408
18412,2022-02-21 05:00:00,61.42,31.0,39317.62353286,5.6686361109550125e-05,876.3005797253563,1141.1609476663962
18418,2022-02-21 06:00:00,62.35,31.0,39244.38677763,5.5945047383319315e-05,861.6219231086645,1160.601852367078
18424,2022-02-21 07:00:00,63.6,31.0,39232.23291287,5.486248923867798e-05,844.4259328599103,1184.2364866900639
18430,2022-02-21 08:00:00,64.29,31.0,39319.44819773,5.4153285551370575e-05,837.2200873084663,1194.4290577342047
18436,2022-02-21 09:00:00,64.65,31.0,39080.58995631,5.418087454054119e-05,827.5004394325426,1208.458572766135
18442,2022-02-21 10:00:00,63.33,31.0,38942.90505156,5.5505729815848507e-05,841.7720644033004,1187.9700482919461
18448,2022-02-21 11:00:00,63.65,31.0,38334.46585786,5.6103225023935366e-05,824.4544366680498,1212.923304823733
18454,2022-02-21 12:00:00,63.81,31.0,37626.33810762,5.701576460854059e-05,807.1957381286433,1238.8568878204724
18460,2022-02-21 13:00:00,64.19,31.0,37569.75924377,5.6763591167677506e-05,801.2106020068159,1248.1112924557794
18466,2022-02-21 14:00:00,65.59,31.0,37578.17094386,5.553955331179443e-05,784.2845467785888,1275.0474354077892
18472,2022-02-21 15:00:00,65.72,31.0,38705.84704842,5.381477393889494e-05,806.2220511774507,1240.35307461455
18478,2022-02-21 16:00:00,65.5,31.0,38855.61236347,5.378740515917486e-05,812.0599816374076,1231.4361286264066
18484,2022-02-21 17:00:00,67.37,31.0,38719.8815978,5.24777351280642e-05,786.7615447792222,1271.0331442045963
18490,2022-02-21 18:00:00,66.81,31.0,38547.30775829,5.3154511121018224e-05,789.8201886903905,1266.1109633802992
18496,2022-02-21 19:00:00,67.67,31.0,37781.48821465,5.3542718031389226e-05,764.290630297947,1308.4027990898767
24955,2022-05-23 20:00:00,71.47,31.0,29097.27883521,6.582630734437977e-05,557.3195077954634,1794.3028837364877
24961,2022-05-23 21:00:00,70.81,31.0,29363.80888352,6.583679305019173e-05,567.6667349939015,1761.596969409777
24967,2022-05-23 22:00:00,69.99,31.0,29322.08958879,6.670290390347453e-05,573.5015208726528,1743.6745389591601
24973,2022-05-23 23:00:00,69.55,31.0,29183.83628573,6.744288447735607e-05,574.4085519445113,1740.9211555342608
24979,2022-05-24 00:00:00,69.8,31.0,29088.33629695,6.742195571050629e-05,570.478276086088,1752.915127392327
24985,2022-05-24 01:00:00,69.76,31.0,29117.44676734,6.739317063687782e-05,571.3766249156213,1750.1591006591777
24991,2022-05-24 02:00:00,69.83,31.0,29208.47016615,6.711580418497699e-05,572.5882344495976,1746.4557247866844
24997,2022-05-24 03:00:00,69.8,31.0,29240.09388108,6.707203230883872e-05,573.4545344768626,1743.8174081442326
25003,2022-05-24 04:00:00,69.91,31.0,29276.33939365,6.688358997700223e-05,573.2619573360307,1744.4032125331264
